comment_id,user_id,category,comment_text
1,174,harassment,Shut up already
2,13,spam,Click this link to win
3,336,safe,This is a nice post
4,33,spam,Buy now!
5,70,safe,This is a nice post
6,305,misinformation,Government is hiding aliens
7,136,safe,Thank you for sharing
8,387,harassment,You're so dumb
9,75,spam,Buy now!
10,150,violent_speech,I will hurt you
11,373,spam,Buy now!
12,7,hate_speech,Go back to where you came from
13,317,spam,Visit our site for free gifts
14,5,safe,This is a nice post
15,390,safe,Thank you for sharing
16,10,hate_speech,You people are the worst
17,161,harassment,Nobody likes you
18,85,safe,Great work!
19,23,hate_speech,Disgusting group
20,271,spam,Buy now!
21,15,spam,Buy now!
22,386,spam,Buy now!
23,294,misinformation,Breaking fake news
24,74,safe,Thank you for sharing
25,239,safe,This is a nice post
26,47,spam,Click this link to win
27,286,spam,Click this link to win
28,263,spam,Visit our site for free gifts
29,59,misinformation,Vaccines cause tracking
30,136,harassment,You're so dumb
31,235,harassment,Nobody likes you
32,180,spam,Visit our site for free gifts
33,275,misinformation,Vaccines cause tracking
34,189,safe,This is a nice post
35,134,spam,Visit our site for free gifts
36,223,safe,This is a nice post
37,232,misinformation,Vaccines cause tracking
38,75,safe,Thank you for sharing
39,366,harassment,You're so dumb
40,205,spam,Visit our site for free gifts
41,90,violent_speech,I will hurt you
42,42,safe,Thank you for sharing
43,209,misinformation,Breaking fake news
44,118,safe,Great work!
45,30,hate_speech,Disgusting group
46,58,safe,Great work!
47,246,harassment,Nobody likes you
48,102,harassment,Nobody likes you
49,137,safe,This is a nice post
50,280,safe,Great work!
51,381,harassment,Shut up already
52,183,violent_speech,I will hurt you
53,334,spam,Visit our site for free gifts
54,15,safe,Thank you for sharing
55,379,safe,This is a nice post
56,31,safe,This is a nice post
57,227,safe,Thank you for sharing
58,273,harassment,Shut up already
59,265,spam,Visit our site for free gifts
60,283,violent_speech,I will hurt you
61,3,spam,Click this link to win
62,379,violent_speech,I will hurt you
63,372,safe,Thank you for sharing
64,177,safe,Thank you for sharing
65,75,harassment,You're so dumb
66,394,violent_speech,Someone should beat you
67,128,violent_speech,I will hurt you
68,341,safe,Thank you for sharing
69,199,spam,Click this link to win
70,173,safe,Great work!
71,387,harassment,You're so dumb
72,36,hate_speech,You people are the worst
73,304,spam,Buy now!
74,245,hate_speech,Disgusting group
75,257,safe,Great work!
76,362,misinformation,Government is hiding aliens
77,121,safe,Great work!
78,378,safe,Great work!
79,232,safe,Thank you for sharing
80,223,violent_speech,Someone should beat you
81,150,harassment,You're so dumb
82,58,spam,Click this link to win
83,195,spam,Visit our site for free gifts
84,172,violent_speech,I will hurt you
85,82,safe,This is a nice post
86,30,safe,This is a nice post
87,63,spam,Visit our site for free gifts
88,170,spam,Visit our site for free gifts
89,331,safe,This is a nice post
90,12,safe,Thank you for sharing
91,26,violent_speech,I will hurt you
92,376,spam,Buy now!
93,103,harassment,Nobody likes you
94,200,spam,Visit our site for free gifts
95,235,safe,This is a nice post
96,112,misinformation,Government is hiding aliens
97,96,violent_speech,You deserve to be attacked
98,90,safe,Thank you for sharing
99,224,safe,Great work!
100,55,hate_speech,Go back to where you came from
101,260,hate_speech,Go back to where you came from
102,243,hate_speech,You people are the worst
103,285,harassment,Nobody likes you
104,241,harassment,You're so dumb
105,288,spam,Visit our site for free gifts
106,177,safe,Thank you for sharing
107,340,safe,Thank you for sharing
108,210,hate_speech,You people are the worst
109,84,spam,Buy now!
110,261,safe,Great work!
111,41,safe,This is a nice post
112,71,safe,This is a nice post
113,41,harassment,You're so dumb
114,155,safe,This is a nice post
115,325,safe,Great work!
116,106,violent_speech,I will hurt you
117,181,spam,Visit our site for free gifts
118,232,misinformation,Vaccines cause tracking
119,29,violent_speech,You deserve to be attacked
120,373,spam,Visit our site for free gifts
121,225,hate_speech,Disgusting group
122,327,harassment,Nobody likes you
123,361,spam,Visit our site for free gifts
124,393,safe,Great work!
125,190,spam,Buy now!
126,391,safe,Thank you for sharing
127,381,hate_speech,Disgusting group
128,293,harassment,Shut up already
129,286,misinformation,Vaccines cause tracking
130,76,hate_speech,Go back to where you came from
131,370,harassment,Nobody likes you
132,235,safe,Great work!
133,121,safe,Thank you for sharing
134,31,misinformation,Government is hiding aliens
135,351,harassment,Nobody likes you
136,178,spam,Visit our site for free gifts
137,352,spam,Visit our site for free gifts
138,114,safe,Great work!
139,350,spam,Click this link to win
140,377,harassment,You're so dumb
141,154,misinformation,Breaking fake news
142,222,safe,Thank you for sharing
143,247,hate_speech,Disgusting group
144,266,hate_speech,Go back to where you came from
145,40,violent_speech,You deserve to be attacked
146,201,harassment,You're so dumb
147,186,harassment,Nobody likes you
148,43,spam,Buy now!
149,315,safe,Great work!
150,135,spam,Visit our site for free gifts
151,365,safe,Thank you for sharing
152,169,violent_speech,Someone should beat you
153,127,harassment,Nobody likes you
154,237,misinformation,Vaccines cause tracking
155,151,harassment,Nobody likes you
156,389,misinformation,Breaking fake news
157,174,harassment,Shut up already
158,328,harassment,Shut up already
159,348,harassment,Nobody likes you
160,224,safe,Thank you for sharing
161,69,safe,Great work!
162,114,violent_speech,Someone should beat you
163,393,safe,Great work!
164,360,hate_speech,Disgusting group
165,211,spam,Buy now!
166,148,spam,Visit our site for free gifts
167,152,spam,Click this link to win
168,321,safe,Thank you for sharing
169,268,safe,This is a nice post
170,260,safe,Thank you for sharing
171,369,hate_speech,You people are the worst
172,320,safe,Great work!
173,16,safe,Great work!
174,218,safe,Thank you for sharing
175,209,violent_speech,You deserve to be attacked
176,193,hate_speech,Go back to where you came from
177,77,harassment,Nobody likes you
178,298,harassment,Nobody likes you
179,59,violent_speech,Someone should beat you
180,16,harassment,Nobody likes you
181,271,hate_speech,Go back to where you came from
182,334,safe,Thank you for sharing
183,110,violent_speech,I will hurt you
184,124,misinformation,Vaccines cause tracking
185,273,hate_speech,Go back to where you came from
186,129,hate_speech,Go back to where you came from
187,366,harassment,You're so dumb
188,287,spam,Visit our site for free gifts
189,253,hate_speech,Disgusting group
190,203,safe,Great work!
191,330,spam,Click this link to win
192,37,violent_speech,I will hurt you
193,108,safe,This is a nice post
194,136,harassment,Nobody likes you
195,219,spam,Buy now!
196,60,violent_speech,I will hurt you
197,123,spam,Buy now!
198,240,safe,Great work!
199,5,harassment,Nobody likes you
200,274,spam,Visit our site for free gifts
201,159,spam,Click this link to win
202,49,misinformation,Government is hiding aliens
203,159,safe,Great work!
204,319,safe,Great work!
205,327,spam,Visit our site for free gifts
206,124,spam,Visit our site for free gifts
207,11,hate_speech,Disgusting group
208,304,hate_speech,Go back to where you came from
209,297,hate_speech,Go back to where you came from
210,388,safe,Great work!
211,386,safe,Great work!
212,353,hate_speech,Go back to where you came from
213,180,violent_speech,You deserve to be attacked
214,26,safe,Thank you for sharing
215,137,misinformation,Government is hiding aliens
216,142,hate_speech,Go back to where you came from
217,242,spam,Visit our site for free gifts
218,60,misinformation,Government is hiding aliens
219,336,misinformation,Breaking fake news
220,242,safe,This is a nice post
221,304,harassment,Nobody likes you
222,11,spam,Click this link to win
223,94,spam,Buy now!
224,297,misinformation,Breaking fake news
225,341,hate_speech,You people are the worst
226,64,harassment,You're so dumb
227,296,harassment,You're so dumb
228,222,safe,Great work!
229,113,safe,Great work!
230,180,harassment,Nobody likes you
231,267,spam,Buy now!
232,170,hate_speech,You people are the worst
233,305,safe,Great work!
234,43,harassment,Shut up already
235,372,spam,Buy now!
236,326,violent_speech,You deserve to be attacked
237,65,violent_speech,You deserve to be attacked
238,209,safe,Great work!
239,70,harassment,Nobody likes you
240,313,misinformation,Vaccines cause tracking
241,28,harassment,Shut up already
242,197,hate_speech,You people are the worst
243,328,harassment,Nobody likes you
244,110,safe,Great work!
245,83,harassment,You're so dumb
246,73,spam,Buy now!
247,253,safe,This is a nice post
248,302,safe,Great work!
249,305,misinformation,Breaking fake news
250,76,spam,Buy now!
251,200,safe,Thank you for sharing
252,114,hate_speech,Go back to where you came from
253,3,violent_speech,I will hurt you
254,57,spam,Click this link to win
255,45,spam,Visit our site for free gifts
256,13,spam,Buy now!
257,184,spam,Buy now!
258,260,spam,Buy now!
259,346,safe,Thank you for sharing
260,212,spam,Buy now!
261,14,spam,Buy now!
262,201,spam,Buy now!
263,381,safe,Thank you for sharing
264,8,harassment,Nobody likes you
265,287,safe,This is a nice post
266,117,hate_speech,You people are the worst
267,211,safe,Great work!
268,55,safe,Thank you for sharing
269,199,harassment,Nobody likes you
270,249,hate_speech,Go back to where you came from
271,20,misinformation,Vaccines cause tracking
272,72,harassment,Nobody likes you
273,149,violent_speech,Someone should beat you
274,118,spam,Buy now!
275,297,violent_speech,Someone should beat you
276,225,hate_speech,You people are the worst
277,360,spam,Buy now!
278,386,spam,Click this link to win
279,115,hate_speech,Disgusting group
280,278,misinformation,Government is hiding aliens
281,201,safe,Thank you for sharing
282,323,violent_speech,I will hurt you
283,26,spam,Click this link to win
284,306,safe,This is a nice post
285,84,harassment,You're so dumb
286,181,spam,Click this link to win
287,80,spam,Visit our site for free gifts
288,376,spam,Buy now!
289,189,violent_speech,You deserve to be attacked
290,357,violent_speech,I will hurt you
291,229,hate_speech,Disgusting group
292,342,safe,Thank you for sharing
293,237,harassment,Nobody likes you
294,276,safe,Thank you for sharing
295,279,spam,Click this link to win
296,395,safe,Great work!
297,164,spam,Click this link to win
298,363,spam,Visit our site for free gifts
299,112,spam,Buy now!
300,83,violent_speech,I will hurt you
301,353,spam,Click this link to win
302,80,spam,Buy now!
303,105,harassment,Shut up already
304,303,violent_speech,I will hurt you
305,276,safe,Great work!
306,302,violent_speech,You deserve to be attacked
307,206,harassment,Shut up already
308,76,harassment,You're so dumb
309,348,safe,Great work!
310,134,violent_speech,Someone should beat you
311,391,safe,This is a nice post
312,33,spam,Click this link to win
313,201,harassment,Shut up already
314,380,spam,Buy now!
315,299,misinformation,Breaking fake news
316,366,hate_speech,Disgusting group
317,132,harassment,Shut up already
318,290,safe,Great work!
319,115,harassment,Nobody likes you
320,263,spam,Click this link to win
321,93,hate_speech,You people are the worst
322,258,spam,Buy now!
323,341,safe,This is a nice post
324,199,hate_speech,You people are the worst
325,386,violent_speech,I will hurt you
326,271,spam,Visit our site for free gifts
327,374,hate_speech,Disgusting group
328,259,hate_speech,Disgusting group
329,398,violent_speech,You deserve to be attacked
330,345,violent_speech,I will hurt you
331,285,harassment,Shut up already
332,352,harassment,Shut up already
333,113,harassment,Shut up already
334,253,safe,This is a nice post
335,242,hate_speech,Disgusting group
336,40,harassment,Shut up already
337,268,safe,Thank you for sharing
338,150,safe,This is a nice post
339,277,harassment,Nobody likes you
340,30,harassment,Nobody likes you
341,368,safe,Thank you for sharing
342,14,spam,Visit our site for free gifts
343,200,safe,Thank you for sharing
344,52,misinformation,Vaccines cause tracking
345,171,violent_speech,Someone should beat you
346,30,spam,Buy now!
347,310,violent_speech,I will hurt you
348,344,hate_speech,You people are the worst
349,140,spam,Click this link to win
350,168,spam,Visit our site for free gifts
351,34,safe,This is a nice post
352,133,violent_speech,You deserve to be attacked
353,227,safe,Thank you for sharing
354,69,harassment,Nobody likes you
355,174,safe,This is a nice post
356,350,spam,Visit our site for free gifts
357,30,safe,Thank you for sharing
358,19,hate_speech,Disgusting group
359,56,safe,This is a nice post
360,254,harassment,You're so dumb
361,141,misinformation,Government is hiding aliens
362,276,harassment,Nobody likes you
363,167,misinformation,Vaccines cause tracking
364,301,harassment,Nobody likes you
365,42,harassment,You're so dumb
366,170,misinformation,Vaccines cause tracking
367,60,hate_speech,You people are the worst
368,294,hate_speech,Disgusting group
369,376,safe,This is a nice post
370,49,spam,Buy now!
371,42,harassment,You're so dumb
372,66,hate_speech,You people are the worst
373,288,safe,Thank you for sharing
374,393,spam,Click this link to win
375,145,spam,Buy now!
376,317,safe,Thank you for sharing
377,253,spam,Click this link to win
378,132,harassment,Nobody likes you
379,243,misinformation,Breaking fake news
380,89,safe,Thank you for sharing
381,279,harassment,You're so dumb
382,128,safe,Thank you for sharing
383,291,hate_speech,Disgusting group
384,389,spam,Click this link to win
385,321,safe,Thank you for sharing
386,319,harassment,Shut up already
387,351,safe,This is a nice post
388,330,violent_speech,You deserve to be attacked
389,13,safe,Great work!
390,382,spam,Visit our site for free gifts
391,393,hate_speech,You people are the worst
392,106,safe,Thank you for sharing
393,258,violent_speech,I will hurt you
394,391,safe,This is a nice post
395,255,misinformation,Vaccines cause tracking
396,162,safe,Great work!
397,14,harassment,Nobody likes you
398,92,spam,Buy now!
399,333,misinformation,Government is hiding aliens
400,144,harassment,Shut up already
401,364,spam,Click this link to win
402,321,harassment,Nobody likes you
403,347,misinformation,Government is hiding aliens
404,161,spam,Visit our site for free gifts
405,157,harassment,Shut up already
406,104,safe,Thank you for sharing
407,335,safe,Great work!
408,301,misinformation,Vaccines cause tracking
409,3,safe,Thank you for sharing
410,80,harassment,Nobody likes you
411,147,safe,Thank you for sharing
412,66,harassment,Shut up already
413,316,harassment,You're so dumb
414,85,safe,Thank you for sharing
415,85,harassment,Shut up already
416,88,safe,Great work!
417,164,spam,Click this link to win
418,267,misinformation,Vaccines cause tracking
419,34,hate_speech,Go back to where you came from
420,164,misinformation,Vaccines cause tracking
421,216,hate_speech,Disgusting group
422,2,spam,Buy now!
423,369,misinformation,Breaking fake news
424,374,harassment,Nobody likes you
425,178,safe,Great work!
426,376,hate_speech,Disgusting group
427,95,safe,Great work!
428,263,harassment,Shut up already
429,29,spam,Visit our site for free gifts
430,145,safe,This is a nice post
431,148,safe,This is a nice post
432,327,misinformation,Government is hiding aliens
433,255,spam,Buy now!
434,97,harassment,Nobody likes you
435,152,hate_speech,You people are the worst
436,89,safe,Great work!
437,58,violent_speech,You deserve to be attacked
438,209,harassment,You're so dumb
439,99,misinformation,Vaccines cause tracking
440,307,safe,Great work!
441,246,hate_speech,Disgusting group
442,192,spam,Buy now!
443,45,harassment,Shut up already
444,346,spam,Click this link to win
445,109,safe,Great work!
446,368,safe,Great work!
447,297,safe,Thank you for sharing
448,112,hate_speech,Go back to where you came from
449,106,harassment,Shut up already
450,95,safe,This is a nice post
451,267,spam,Visit our site for free gifts
452,103,safe,Thank you for sharing
453,146,safe,Great work!
454,379,violent_speech,Someone should beat you
455,183,safe,This is a nice post
456,124,harassment,You're so dumb
457,143,hate_speech,Go back to where you came from
458,393,safe,Great work!
459,52,misinformation,Breaking fake news
460,347,safe,This is a nice post
461,75,safe,This is a nice post
462,65,harassment,Nobody likes you
463,97,harassment,Nobody likes you
464,90,safe,Great work!
465,334,safe,Thank you for sharing
466,197,hate_speech,You people are the worst
467,235,violent_speech,You deserve to be attacked
468,170,safe,This is a nice post
469,16,spam,Visit our site for free gifts
470,269,spam,Buy now!
471,153,spam,Visit our site for free gifts
472,371,spam,Visit our site for free gifts
473,184,spam,Buy now!
474,138,safe,This is a nice post
475,151,spam,Buy now!
476,331,spam,Buy now!
477,392,hate_speech,Disgusting group
478,226,violent_speech,You deserve to be attacked
